Job,Position,Data
Cook / Helper Job in Dlf  Gurgoan,Cook / Helper,"


Dlf cyber city phase 3

₹ 5,000 to ₹ 10,000






Fresher


Below 10th Standard
Full Time (Day)


Male



Hindi
Hindi
3 Opening (s)




Grinding, Can cook-Veg, Can cook-Non veg, Can cook-Thai, Can cook-Continental




Job Description
 




Required Grinding,Can cook-Veg,Can cook-Non veg,Can cook-Thai,Can cook-Continental 








 CALL NOW













"
Part-time Vacancies- Make money On the internet,Digital Marketing,"


C- scheme

₹ 5,000 to ₹ 10,000






Fresher


12th Standard
Any Timing




Any Gender

English,Hindi
Hindi
20 Opening (s)




Digital Media Planning, Marketing Platform-Search Engine 




Job Description
 




Required Digital Media Planning,Marketing Platform-Search Engine 








 CALL NOW













"
Call Center job in Hazrat ganj Lucknow,Call Center,"


Hazrat ganj

₹ 8,000 to ₹ 13,000






Fresher


Below 10th Standard
Any Timing




Any Gender

English,Hindi
English,Hindi
5 Opening (s)




Domestic




Job Description
 




Required Domestic 









 APPLY NOW












"
BPO / Data Entry / Computer Operator job in Hazrat ganj Lucknow,BPO / Data Entry / Computer Operator,"


qaiserbagh, Hazrat ganj , chauk, daliganz, gomtinagar, niralanagar

₹ 8,000 to ₹ 13,000






Fresher


10th Standard
Any Timing




Any Gender

English,Hindi
English,Hindi
6 Opening (s)




Domestic




Job Description
 




Required Domestic 









 APPLY NOW












"
Indian Cook ....For Online Kitchen,Cook / Helper,"


Vijaynagar

₹ 12,000 to ₹ 17,000

6 Months to 1.5 Years


10th Standard
Full Time (Day)


Male



Hindi
Hindi
1 Opening (s)




Can cook-Veg, Can cook-North Indian, Can cook-Chinese




Job Description
 




I want to hire an good experienced chef for north indian food 








 CALL NOW













"
Bach Office ,BPO / Data Entry / Computer Operator,"


Andheri west

₹ 25,000 to ₹ 30,000






Fresher


12th Standard
Any Timing




Any Gender

English,Hindi
Marathi,English,Hindi
25 Opening (s)




Inbound,  Voice,  Basics of computer,  MS Excel,  Good communication,  Email writing & Etiquette,  Typing speed




Job Description
 




Required Inbound, Voice, Basics of computer, MS Excel, Good communication, Email writing & Etiquette, Typing speed 









 APPLY NOW












"
Housekeeping job in Rani Bagh Delhi,Housekeeping,"


Rani Bagh, Laxmi Nagar, Model Town i, Azadpur, Pitampura

₹ 5,000 to ₹ 15,000






Fresher


10th Standard
Full Time (Day)



Female


English,Hindi
English,Hindi
15 Opening (s)




Kitchen cleaning,  Bathroom cleaning,  Moping machine handling,  Vaccum cleaner handling,  Indoor Sweeping & Moping,  Outdoor Sweeping & Moping,  Team management,  Supplies management,  Basics of computer




Job Description
 




Required Kitchen cleaning, Bathroom cleaning, Moping machine handling, Vaccum cleaner handling, Indoor Sweeping & Moping, Outdoor Sweeping & Moping, Team management, Supplies management, Basics of computer 








 CALL NOW













"
Call Center job in Tilak Nagar Delhi,Call Center,"


Tilak Nagar, Subhash Nagar, Model Town i, Azadpur, Pitampura

₹ 10,000 to ₹ 15,000






Fresher


12th Standard
Full Time (Day)



Female


English,Hindi
English,Hindi
25 Opening (s)




Domestic,  International,  Inbound,  Outbound,  Non voice,  Voice,  Telesales,  Technical support,  Non technical support,  Customer support,  Basics of computer,  MS Excel,  Analytical ability,  Good communication,  Proofreading,  Quality assurance,  Email writing & Etiquette,  Typing speed




Job Description
 




Required Domestic, International, Inbound, Outbound, Non voice, Voice, Telesales, Technical support, Non technical support, Customer support, Basics of computer, MS Excel, Analytical ability, Good communication, Proofreading, Quality assurance, Email writing & Etiquette, Typing speed 









 APPLY NOW












"
Sales / Marketing job in Gota Ahmedabad,Sales / Marketing,"


Gota

₹ 7,000 to ₹ 20,000

6 Months to 1.5 Years


Graduation - Any Stream
Full Time (Day)



Female


English,Hindi
Gujarati,Hindi
20 Opening (s)




Basics of computer,  Good communication,  Brand Marketing,  Good confidence level




Job Description
 




Required Basics of computer, Good communication, Brand Marketing, Good confidence level 









 APPLY NOW












"
Beautician / Salon job in Karol Bagh Delhi,Beautician / Salon,"


Karol Bagh, Connaught Place, Darya Ganj, Sat Nagar, Patiala House

₹ 5,000 to ₹ 40,000






Fresher


10th Standard
Full Time (Day)



Female


Hindi
Hindi
25 Opening (s)




Hair cutting,  Hair Spa,  Hair styling,  Makeup,  Hair removal,  Manicure,  Massage,  Facial,  Shaving,  Nailcare,  Pedicure,  Pet grooming,  Skin care




Job Description
 




Required Hair cutting, Hair Spa, Hair styling, Makeup, Hair removal, Manicure, Massage, Facial, Shaving, Nailcare, Pedicure, Pet grooming, Skin care 








 CALL NOW













"
Office Boy / Peon  job in Laxmi Nagar Delhi,Office Boy / Peon ,"


Laxmi Nagar, Rani Bagh, Model Town i, Pitampura, Azadpur

₹ 7,000 to ₹ 15,000






Fresher


10th Standard
Full Time (Day)


Male



Hindi
Hindi
15 Opening (s)




Cleaning & dusting




Job Description
 




Required Cleaning & dusting 









 APPLY NOW












"
Chef,Cook / Helper,"


Rajpur, Dehradun.

₹ 9,000 to ₹ 15,000

6 Months to 7+ Years


12th Standard
Full Time (Day)


Male



Hindi
Hindi
1 Opening (s)




Can cook-Continental




Job Description
 




Required Can cook-Continental 








 CALL NOW













"
Welder Job In Pimpri-chichwad,Welder,"


Pimpri

₹ 10,000 to ₹ 20,000

1 Year to 3 Years


10th Standard
Full Time (Day)


Male



Hindi,Marathi
Hindi,Marathi
2 Opening (s)




Welding Process-Shielded Metal Arc Welding (SMAW)




Job Description
 




Required Welding Process-Shielded Metal Arc Welding required  for electrical projects . Work involve cable tray fixing, 








 CALL NOW













"
Business Analyst / Data Analyst job in Latur Latur,Business Analyst / Data Analyst,"


Latur

₹ 11,000 to ₹ 18,000






Fresher


Graduation - Any Stream
Part Time (Morning)




Any Gender

Marathi,English,Hindi
Marathi,English,Hindi
10 Opening (s)




Basics of computer




Job Description
 




Required Basics of computer 








 CALL NOW













"
Driver Job in Karawal Nagar Delhi,Driver,"


Karawal Nagar

₹ 5,000 to ₹ 15,000

6 Months to 7 Years


10th Standard
Full Time (Day)


Male



Hindi
Hindi
1 Opening (s)




Vehicle-Manual car 




Job Description
 




Required Vehicle-Manual car 









 APPLY NOW












"
Business Analyst / Data Analyst job in Latur Latur,Business Analyst / Data Analyst,"


Latur

₹ 12,000 to ₹ 18,000






Fresher


Graduation - Any Stream
Part Time (Morning)




Any Gender

Marathi,English,Hindi
Marathi,English,Hindi
10 Opening (s)




Basics of computer




Job Description
 




Required Basics of computer 








 CALL NOW













"
HR / Administrator job in Morabadi Ranchi,HR / Administrator,"


Morabadi

₹ 7,000 to ₹ 10,000






Fresher


12th Standard
Any Timing




Any Gender

English,Hindi
English,Hindi
12 Opening (s)




Basics of computer




Job Description
 




Required Basics of computer 








 CALL NOW













"
HR executive ,HR / Administrator,"


Morabadi

₹ 10,000 to ₹ 12,000






Fresher


Graduation - Any Stream
Full Time (Day)




Any Gender

English,Hindi
English,Hindi
15 Opening (s)




Basics of computer




Job Description
 




company provide you 20-25 numbers in daily basis call them and line up interview 








 CALL NOW













"
